updated_label,original_url,old_label,source_article,explanations,rationale
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.",https://quizizz.com/admin/quiz/5dd2afe64b69e5001b01d3ad/ethical-fallacies,ad hominem,"Why would you trust paris hilton to sell health food? She drinks and parties and has multiple partners.
",,
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.",https://quizizz.com/admin/quiz/5da73748e438d4001afb00fe/logical-fallacy,ad hominem,"[MSK2]: cats are [MSK3] than [MSK4]. V: [MSK4] are [MSK3]. [MSK2]: [MSK1] are a lazy person. [MSK1] won't even be [MSK3] to take care of a [MSK4].
",,
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.",https://quizizz.com/admin/quiz/5da73748e438d4001afb00fe/logical-fallacy,ad hominem,"People who don't [MSK1] [MSK1] [MSK1] pop are racist.
",,
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.",https://quizizz.com/admin/quiz/5821269bd6a87cd126903137/logical-fallacies,ad hominem,"[MSK1] can't be a great athlete; [MSK1] cheated on [MSK1] wife.
",,
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.",https://quizizz.com/admin/quiz/5fa94745abef66001b5aeb64/fallacy-quiz,ad hominem,"An abusive attack against someone [MSK2] the argument, instead of the [MSK1] [MSK1], is called a [MSK2].
",,
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.",https://quizizz.com/admin/quiz/5d8b58e02e4e1c001a5023ab/fallacies,ad hominem,"A politician arguing that [MSK1] opponent can not possibly be a good choice for women because [MSK1] has been married and divorced five times.
",,
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.",https://quizizz.com/admin/quiz/607ee7628974e8001b0db45c/quick-check-logos-and-fallacies,ad hominem,"[MSK1] is so wrong about luna [MSK2] work ethic. [MSK1] is just an egotistical jerk with a god complex, what does [MSK1] [MSK2]?
",,
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.",https://quizizz.com/admin/quiz/60004d578955c7001bd96aae/name-that-logical-fallacy,ad hominem,"Vote for me because the other candidate is a cheat and a liar!
",,
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.",https://quizizz.com/admin/quiz/5d7061e8154c4d001a5ae7b1/test-your-fallacies,ad hominem,"[MSK1] did n’t even finish high school, how could [MSK1] possible know about this?
",,
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.",https://quizizz.com/admin/quiz/5e6258fe944a37001b6faae2/logical-fallacies,ad hominem,"[MSK1] [MSK2] to have that haircut. Then [MSK1] mom [MSK2] a job.
",,
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.",https://quizizz.com/admin/quiz/5e6258fe944a37001b6faae2/logical-fallacies,ad hominem,"How would [MSK1] know anything about technology? [MSK1]'re too old!
",,
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.",https://quizizz.com/admin/quiz/6012e5d77b0272001eadb40d/rhetorical-fallacies,ad hominem,"Ms. [MSK1] assigned [MSK2] a lot of homework because [MSK1] [MSK2] a witch!
",,
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.",https://quizizz.com/admin/quiz/5f1a97984ffed6001b997086/logical-fallacies,ad hominem,"Senator [MSK1] is a liar. You shouldn't listen to [MSK1] on anything.
",,
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.",https://quizizz.com/admin/quiz/5f91a8f01eb916001c015110/rhetorical-fallacies,ad hominem,"Says [MSK1] 2, attacking [MSK1] 1 instead of his arguments.
",,
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.",https://quizizz.com/admin/quiz/5ffdbb6b36ee14001ec3829e/fallacies,ad hominem,"The reason [MSK1] [MSK2] never makes any money is because [MSK1] have a buffoon running [MSK2]!
",,
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.",https://quizizz.com/admin/quiz/5e528b7fe6cfb3001ca07fd8/mankind-s-next-giant-leap,ad hominem,"Don't [MSK2] to [MSK1] [MSK2] arguments on education. [MSK1] didn't even finish high.
",,
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.",https://quizizz.com/admin/quiz/5e0cf2291dd028001cf54350/persuasive-terms,ad hominem,"Or [MSK1] in order to discredit an idea with which the person or [MSK1] is associated; distracts the reader from the real.
",,
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.",https://quizizz.com/admin/quiz/5d90f216d258e4001a11c33c/fun-with-fallacies,ad hominem,"[MSK1]: we should have tastier [MSK2]! Jaylen: don't [MSK3] to [MSK1]! [MSK1]'s a terrible person! [MSK3] [MSK3] [MSK1] trip another student and steal [MSK1] [MSK2] money!
",,
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.",https://quizizz.com/admin/quiz/60332e20073770001d1ef61f/english-review,ad hominem,"You're [MSK1] just too young to [MSK1] what [MSK1] happening.
",,
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.",https://quizizz.com/admin/quiz/59ba736940c40f1100e9635b/propaganda-and-animal-farm,ad hominem,"[MSK2] will teach this miserable [MSK1] [MSK3] snowball [MSK3] that [MSK1] can not undo [MSK2] work so easily.
",,
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.",https://quizizz.com/admin/quiz/580f92d256bd584f78ed14e0/animal-farm-propaganda,ad hominem,"When squealer / napoleon calls snowball a ' traitor ', and ' criminal '
",,
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.",https://quizizz.com/admin/quiz/60621ec7d83485001b4bdbc7/genre-elements-review,ad hominem,"[MSK2] no reason to [MSK2] to [MSK1]. Anything [MSK1] [MSK2] will be influenced by [MSK1] interest in civil [MSK2]. [MSK1] statements are bound to be distorted and unreliable.
",,
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.",https://quizizz.com/admin/quiz/5f6c215473a960001b4b0054/philosophy-ct-unit-mc-practice,ad hominem,"While debating with a friend on which [MSK4] would be [MSK3] to [MSK5], [MSK1] [MSK6] the argument that [MSK1] opinion on [MSK4] is [MSK3] because [MSK1] [MSK2] [MSK6] [MSK2] nose, so we should n’t trust [MSK2] because that [MSK5].
",,
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.",https://quizizz.com/admin/quiz/5a0266cab2deb7120079eb26/crucible-and-mccarthyism,ad hominem,"Politicians coin names to cast.
",,
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.",https://quizizz.com/admin/quiz/5fa94745abef66001b5aeb64/fallacy-quiz,ad hominem,"[MSK1] [MSK2] not a great athlete [MSK2] [MSK1] [MSK2] a fraud, a cheat and a liar. That [MSK2] why not everybody is [MSK2] happy for lance. '
",,
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.",https://quizizz.com/admin/quiz/5a663673f2554e001b8563e1/logical-fallacy-review-game,ad hominem,"[MSK1]'s such a mean teacher and person – that's why [MSK1] wouldn't raise my grade one percent!
",,
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.",https://quizizz.com/admin/quiz/5a663673f2554e001b8563e1/logical-fallacy-review-game,ad hominem,"Drivers in richmond are terrible. Why does everyone in a big city drive like that?
",,
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.",https://quizizz.com/admin/quiz/5ab41a9faac86b001ba85423/persuasive-terms,ad hominem,"[MSK1] is a liar! [MSK1] should not be trusted to be president for student council!
",,
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.",https://quizizz.com/admin/quiz/5ff71d402841f5001b57bc06/logical-fallacies-practice,ad hominem,"[MSK1] [MSK2] raised a good point, but can we trust [MSK2]? [MSK1] mean [MSK2] just moved to town only 5 months ago, how much could [MSK2] [MSK3] [MSK3]?
",,
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.",https://quizizz.com/admin/quiz/590b9af3ed579e10005898d5/fallacies-day,ad hominem,"Student: [MSK2], professor [MSK1], we shouldn't have to read this book by freud. Everyone [MSK2] [MSK1] used cocaine.
",,
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.",https://quizizz.com/admin/quiz/590b9af3ed579e10005898d5/fallacies-day,ad hominem,"We can not approve of this recycling idea. It was thought of by a bunch of hippie communist weirdos.
",,
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.",https://quizizz.com/admin/quiz/590b9af3ed579e10005898d5/fallacies-day,ad hominem,"[MSK1] was assigned a personal trainer at the rec, and [MSK2] gave [MSK1] a new workout program. But [MSK1] don't have any confidence in [MSK2] expertise, since [MSK2] has obvious trouble controlling [MSK2] own appetite.
",,
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.",https://quizizz.com/admin/quiz/590b9af3ed579e10005898d5/fallacies-day,ad hominem,"Of course marx ' theories about the ideal society are bunk. The [MSK1] spent all [MSK1] time in the library.
",,
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.",https://quizizz.com/admin/quiz/590b9af3ed579e10005898d5/fallacies-day,ad hominem,"[MSK6], [MSK2] [MSK6] [MSK1] [MSK6] [MSK4] on [MSK7] matters [MSK6] [MSK1], but that [MSK3] sleeps around with [MSK5]. [MSK2] [MSK6] of at least one marriage [MSK3]'s broken up, so why should [MSK3] [MSK4] on [MSK5], much less [MSK7]?
",,
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.",https://quizizz.com/admin/quiz/6024766901d0c1001b04761f/logical-fallacies-practice,ad hominem,"Student: logical [MSK2] have nothing to do with [MSK1] life and [MSK1] do n’t want to learn [MSK2]! Teacher: you are too young to [MSK3] why it [MSK3] important!
",,
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.",https://quizizz.com/admin/quiz/5cca00b0fa3ddc001a583211/rhetorical-fallacies-th-grade,ad hominem,"[MSK1] opinions about sports mean nothing-[MSK1] [MSK1] can barely tie [MSK1] own shoes!
",,
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.",https://quizizz.com/admin/quiz/5cca00b0fa3ddc001a583211/rhetorical-fallacies-th-grade,ad hominem,"[MSK1] at that [MSK1]! Could anyone trust that to run the country?
",,
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.",https://quizizz.com/admin/quiz/5cca00b0fa3ddc001a583211/rhetorical-fallacies-th-grade,ad hominem,"[MSK1] don't [MSK3] about you, but [MSK1] would [MSK2] [MSK3] the word of a woman who [MSK2] finished school.
",,
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.",https://quizizz.com/admin/quiz/5cca00b0fa3ddc001a583211/rhetorical-fallacies-th-grade,ad hominem,"Why would you lend money to some who [MSK1] [MSK1] they don't have a job?
",,
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.",https://quizizz.com/admin/quiz/5e15d293351ef5001bd0e625/traditional-logic-chapter-review,ad hominem,"Senator [MSK1] supports a strong national defense, and [MSK1] wants your [MSK2]. [MSK1] would never [MSK2] for a coward like [MSK1].
",,
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.",https://quizizz.com/admin/quiz/5a0f0600920b9b1100fb5669/logical-fallacy,ad hominem,"[MSK1] [MSK2] that we need a major overhaul in education. [MSK1] [MSK2] a speeding ticket every other week, so maybe [MSK1] should learn how to drive instead of worrying about schools.
",,
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.",https://quizizz.com/admin/quiz/5f769795899c3f001cce9a5a/philo-quiz-week-fallacy,ad hominem,"My [MSK1] raises a [MSK2] good point, but can we [MSK2] trust [MSK1]? [MSK1] moved to this town three years ago and everyone [MSK2] [MSK1] wife left [MSK1].
",,
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.",https://quizizz.com/admin/quiz/5f769795899c3f001cce9a5a/philo-quiz-week-fallacy,ad hominem,"[MSK2], [MSK2]. What do [MSK1] [MSK2] about labor laws? [MSK1] don't even have a job.
",,
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.",https://quizizz.com/admin/quiz/5d321220e0cc63001a271f55/logical-fallacies,ad hominem,"[MSK1]: why do [MSK1] always deflect the argument by [MSK2] me? Ann: [MSK1]'re [MSK2] and poor!
",,
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.",https://quizizz.com/admin/quiz/5e6258fe944a37001b6faae2/logical-fallacies,ad hominem,"You're too ugly to be class president!
",,
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.",https://quizizz.com/admin/quiz/5fab3cc677f31f001e81b694/appeals-and-fallacies-quiz,ad hominem,"Only fools are out in public right now. Careful people are staying home.
",,
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.",https://quizizz.com/admin/quiz/5edf4d164fcd03001b2b46f0/logic,ad hominem,", rather than [MSK1] the content of what the person is [MSK1]?
",,
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.",https://quizizz.com/admin/quiz/5c052a53f1cae6001ab2d649/easier-logical-fallacy-review,ad hominem,"Mr. [MSK1] is a [MSK2] teacher because [MSK1] [MSK2].
",,
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.",https://quizizz.com/admin/quiz/5c052a53f1cae6001ab2d649/easier-logical-fallacy-review,ad hominem,"[MSK1] can't be my partner in class because [MSK1] didn't donate to the hurricane sandy fundraiser.
",,
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.",https://quizizz.com/admin/quiz/5a663673f2554e001b8563e1/logical-fallacy-review-game,ad hominem,"[MSK1] just says that because [MSK1]'s a republican.
",,
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.",https://quizizz.com/admin/quiz/606ff0f48e5148001c3e4891/elt-fallacies-in-writing-nd,ad hominem,"This trick, which literally means to the guy, [MSK2] a [MSK1]'s character subtly or blatantly, [MSK2] [MSK1] reputation regardless of how compelling [MSK1] point is.
",,
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.",https://quizizz.com/admin/quiz/5aa8942d5ae5a90019188726/fallacies,ad hominem,"[MSK3] don't [MSK3] [MSK1] need to talk to the people in the [MSK2] [MSK1] about the practicality of enforcing this bill. The [MSK2] [MSK1] is full of democrats, and [MSK1] are already biased against [MSK1].
",,
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.",https://quizizz.com/admin/quiz/5dcb28944bb29b001f3c5e53/logical-fallacies-false-logic,ad hominem,"Against the man; attacking the individual rather than their position.
",,
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.",https://quizizz.com/admin/quiz/5dcb28944bb29b001f3c5e53/logical-fallacies-false-logic,ad hominem,"The political [MSK2] [MSK3] the [MSK1] as a monster who hated babies but [MSK2] never [MSK3] [MSK1] plans for the [MSK2].
",,
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.",https://quizizz.com/admin/quiz/58ab8190b2798b6777134b36/persuasive-techniques-and-logical-fallacies,ad hominem,"You are [MSK1] just too young to [MSK1] this issue!
",,
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.",https://quizizz.com/admin/quiz/6019e64ff54481001b028073/eapp-logic-live-quiz-alternative,ad hominem,"[MSK1] are not a credible resource person. [MSK1] haven't finished college.
",,
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.",https://quizizz.com/admin/quiz/5955a3f0181ab41000ac5a83/debate-fallacies,ad hominem,"[MSK1] is running for class president. In [MSK1] campaign speech [MSK1] says, [MSK1] opponent does not deserve to win. [MSK2] is a smoker and [MSK2] cheated on [MSK2] boyfriend last year.
",,
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.",https://quizizz.com/admin/quiz/5955a3f0181ab41000ac5a83/debate-fallacies,ad hominem,"Andrea [MSK2] has written several books arguing that the [MSK1] harms women when [MSK1] [MSK3] to body image. But [MSK2] is an [MSK4], [MSK4] person, so you shouldn't [MSK3] to [MSK2].
",,
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.",https://quizizz.com/admin/quiz/5e66ec8210bf64001b1fa963/logical-fallacies,ad hominem,"The [MSK1] must be wrong on the issue of taxes because [MSK1]'s such a jerk to the people who work for [MSK1].
",,
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.",https://quizizz.com/admin/quiz/5e6b3c133d50bb001be4f453/logical-fallacies,ad hominem,"No one should believe our dear lady senator who have had an adulterous relationship.
",,
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.",https://quizizz.com/admin/quiz/604934d7fe8205001fe46ba0/fallacies-quiz,ad hominem,"The [MSK1] for mayor was a really bad baseball player in college! Don't vote for [MSK1]!
",,
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.",https://www.pesec.no/24-most-common-logical-fallacies/,ad hominem,"After sally presents an eloquent and compelling case for a more equitable taxation system, sam asks the audience whether we should believe anything from a woman who isn't married, was once arrested, and smells a bit weird.
",,
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.",https://quizizz.com/admin/quiz/57ce081d2c713dc7aebd1484/logical-fallacies,ad hominem,"A [MSK2] tells [MSK2] [MSK1] not to start [MSK5] as [MSK2] will [MSK3] [MSK1] when [MSK2] is [MSK4], and the [MSK1] points out that [MSK2] [MSK2] is a [MSK5]. [MSK2] does not alter the fact that [MSK2] [MSK1] may [MSK3] [MSK5] when [MSK2] is [MSK4].
",,
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.",https://quizizz.com/admin/quiz/5da9e081053807001aa9c382/logical-fallacies,ad hominem,"[MSK1] says that kentucky will beat florida, but [MSK1] sometimes lies, so [MSK1]'m not sure.
",,
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.",https://quizizz.com/admin/quiz/58ee7ef2f594a8e768780149/rhetorical-fallacies,ad hominem,"Andrea [MSK2] has written several books arguing that the [MSK1] harms women when [MSK1] [MSK3] to body image. But [MSK2] is an [MSK4], [MSK4] person, so you shouldn't [MSK3] to [MSK2].
",,
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.",https://quizizz.com/admin/quiz/5f1a97984ffed6001b997086/logical-fallacies,ad hominem,"There's no [MSK2] [MSK2] to [MSK1]. Everybody [MSK2] [MSK1]'re just a little do [MSK2] gooder.
",,
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.",https://www.logicallyfallacious.com/logicalfallacies/Ad-Hominem-Abusive,ad hominem,"My [MSK1] suggests that lowering taxes will be a good idea [MSK2] [MSK1] is coming from a woman who eats a pint of ben and jerry [MSK2] each night!
"," The fact that the woman loves her ice cream, has nothing to do with the lowering of taxes, and therefore, is irrelevant to the argument.  Ad hominem attacks are usually made out of desperation when one cannot find a decent counter argument.",
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.",https://quizizz.com/admin/quiz/608aa4ecb8575b001cc6ef62/logical-fallacies,ad hominem,"The new vice [MSK1] has [MSK2] to public school, so [MSK1] can [MSK2] to the middle and lower class.
",,
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.",https://quizizz.com/admin/quiz/60a683b792ce65001b5816bf/logical-fallacies,ad hominem,"This is why a woman should n’t do a man's.
",,
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.",https://quizizz.com/admin/quiz/60804bf832accb001ba2444f/logical-fallacies,ad hominem,"[MSK1] roots for a british football [MSK2]. Clearly [MSK1] [MSK2] unfit to be a chef at the new.
",,
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.",https://quizizz.com/admin/quiz/60804bf832accb001ba2444f/logical-fallacies,ad hominem,"All people from pinole are.
",,
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.",https://quizizz.com/admin/quiz/5c3fedfb7e72ee001a76fce6/persuasive-text-quiz,ad hominem,"Don't [MSK2] to [MSK1] advice about math. [MSK1] doesn't even [MSK2] how to tie [MSK1] own shoes!
",,
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.",https://quizizz.com/admin/quiz/5f918a04b5be2c001b528339/logical-fallacies-quiz,ad hominem,"[MSK1] is running for class president. In [MSK1] campaign speech [MSK1] says, [MSK1] opponent does not deserve to win. [MSK1] is a smoker and [MSK1] cheated on [MSK1] boyfriend last year.
",,
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.",https://quizizz.com/admin/quiz/6060b5acc441bf001b548932/logical-fallacies,ad hominem,"You can't believe [MSK1] when [MSK1] says there is a god because [MSK1] doesn't even have a job.
",,
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.",https://quizizz.com/admin/quiz/6060b5acc441bf001b548932/logical-fallacies,ad hominem,"[MSK5] 1: i am for [MSK3] the [MSK4] [MSK1] in our state. [MSK5] 2: [MSK2] is for [MSK3] the [MSK4] [MSK1], but [MSK2] is not smart enough to even run a business.
",,
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.",https://quizizz.com/admin/quiz/5da783b3216605001ad267df/match-logical-fallacies,ad hominem,"Mr. [MSK1] supports the [MSK3] ban and [MSK1]'s an idiot, so we should let [MSK2] keep [MSK2] [MSK3].
",,
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.",https://quizizz.com/admin/quiz/58dbf9c6a4f008e15ac0d008/logical-fallacies-part-iv,ad hominem,"[MSK1] who want cell phones in school have no idea what [MSK1]'re talking about.
",,
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.",https://quizizz.com/admin/quiz/58dbf9c6a4f008e15ac0d008/logical-fallacies-part-iv,ad hominem,"[MSK1] claim that cell phones distract students, but [MSK1] only say that because [MSK1] have no lives.
",,
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.",https://quizizz.com/admin/quiz/603f9f9db56df1001b02cfc7/logical-fallacies-daniella-a,ad hominem,"[MSK1]'re wrong because [MSK1]'re ugly!
",,
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.",https://quizizz.com/admin/quiz/5ad4e7ecdc7f09001a7e8c79/logical-fallacies,ad hominem,"[MSK1]'m not surprised, frankly, that someone who [MSK1] lost in his own neighborhood would argue that new york has better pizza than chicago.
",,
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.",https://quizizz.com/admin/quiz/5ba47346e4fc100019e0c6da/logical-fallacy-examples,ad hominem,"Of [MSK2] [MSK1] don't [MSK2] rap or hip [MSK2] hop music! [MSK1] [MSK2] the same clothes every day and have zero fashion sense.
",,
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.",https://quizizz.com/admin/quiz/5ff47302011ce6001bb00cc6/logical-fallacies,ad hominem,"[MSK1] [MSK3] apple is a vegetable. Alexis [MSK3] [MSK2]n't [MSK3] to [MSK1] [MSK3] [MSK2] is failing ap.
",,
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.",https://quizizz.com/admin/quiz/5ad4e7ecdc7f09001a7e8c79/logical-fallacies,ad hominem,"[MSK1], [MSK1] drive a beat-up up car from the 1980s. For this reason, we can never allow [MSK1] to be a lifeguard at the community pool.
",,
